,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9800,70995,2017,0.0,91,미국,아이슬란드,15세이상관람가,제프리 오스바인,0,0,0,0,0,0,0
9801,70997,2017,0.0,133,카자흐스탄,15세이상관람가,드라마,루스템 압드라쉐프,0,0,0,0,0,0,0
9802,70998,2018,100.0,104,영국,미정,다큐멘터리,맷 화이트크로스,0,0,0,0,0,0,0
9803,71000,2018,0.0,75,도미니카,청소년관람불가,드라마,마티아스 비제,0,0,1,0,1,0,0
9804,71001,2016,0.0,19,한국,미정,드라마,송원재,0,0,0,0,0,0,0
9805,71003,2018,0.0,58,일본,12세이상관람가,애니메이션,와카노 테츠야,0,1,0,0,1,0,0
9806,71004,2016,0.0,84,미국,청소년관람불가,공포(호러),스티븐 더햄,0,0,1,0,1,0,0
9807,71005,2016,0.0,80,미국,15세이상관람가,공포(호러),제이크 마이어스,0,0,0,0,1,0,1
9808,71006,2017,0.0,85,미국,15세이상관람가,드라마,썬더 레빈,0,0,1,0,0,0,0
9809,71007,2014,0.0,93,독일,그리스,라트비아,유리스 커시에티스,0,0,0,0,0,0,0
9810,71009,2017,0.0,100,한국,청소년관람불가,없음,이한조,0,1,1,0,1,0,0
9811,71011,2017,37.5,120,미국,청소년관람불가,드라마,마틴 잔드블리엣,1,0,0,0,0,0,0
9812,71012,2018,0.0,106,영국,폴란드,15세이상관람가,데이빗 블레어,0,1,1,0,1,0,1
9813,71013,2017,0.0,84,미국,전체관람가,코미디,헨리 유,0,0,0,0,0,1,0
9814,71014,2016,0.0,211,한국,12세이상관람가,공연,이승환,0,0,0,0,0,0,0
9815,71015,2016,100.0,86,미국,청소년관람불가,코미디,요르마 타코니,0,1,0,0,0,0,1
9816,71016,2018,0.0,70,한국,청소년관람불가,드라마,백감독,0,0,1,0,0,0,0
9817,71017,2016,0.0,153,한국,12세이상관람가,공연,이승환,0,0,0,0,0,0,0
9818,71018,2018,0.0,85,미국,청소년관람불가,드라마,제임스 넌,0,1,1,0,0,0,1
9819,71019,2018,0.0,53,일본,12세이상관람가,액션,타케모토 노보루,0,1,0,0,0,0,0
9820,71020,2016,0.0,95,칠레,15세이상관람가,스릴러,아론 번즈,0,0,0,0,0,0,0
9821,71021,2019,59.54,100,미국,전체관람가,코미디,제프 파울러,0,1,0,0,0,0,0
9822,71022,2018,73.33,110,미국,12세이상관람가,드라마,앤 플레쳐,1,0,0,0,0,0,0
9823,71024,2016,0.0,96,영국,인도,15세이상관람가,조하네스 로버츠,0,0,0,0,0,0,1
9824,71032,2018,0.0,56,영국,전체관람가,가족,마렉 로지,1,0,0,0,0,0,0
9825,71033,2018,0.0,27,미국,전체관람가,애니메이션,제이컵 조이스,1,0,0,0,0,0,0
9826,71034,2018,0.0,58,미국,15세이상관람가,다큐멘터리,브라이언 오크스,1,0,0,0,0,0,0
9827,71036,2017,0.0,76,일본,전체관람가,애니메이션,스즈키 키요타카,0,0,0,0,0,0,0
9828,71037,2016,0.0,71,일본,12세이상관람가,액션,타구치 키요타카,0,0,0,0,0,0,0
