,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
8687,96064,2019,50.0,118,일본,15세이상관람가,스릴러,나카타 히데오,0,0,0,0,1,0,1,스마트폰을 떨어뜨렸을 뿐인데 -붙잡힌 살인귀-,1
8688,96067,2020,0.0,91,중국,15세이상관람가,액션,서예화,0,1,1,0,1,0,0,무간귀도,1
8689,96068,2020,0.0,114,중국,15세이상관람가,액션,곽수강,0,0,0,0,1,0,0,풍운 3,1
8690,96080,2021,0.0,106,네덜란드,청소년관람불가,,세실리아 베르하이덴,1,0,0,0,0,0,0,페리,1
8691,96081,2020,0.0,65,한국,전체관람가,다큐멘터리,윤성준,0,1,1,0,1,0,0,소리에 놀라지 않는 사자처럼,1
8692,96082,2020,0.0,55,일본,전체관람가,액션,와타나베 카즈야,0,1,0,0,0,0,0,파워레인저 다이노소울 VS 루팡포스 VS 패트롤포스,0
8693,96083,2021,0.0,94,브라질,15세이상관람가,코미디,페드루 안토니우,1,0,0,0,0,0,0,사기를 쳐라,1
8694,96088,2020,0.0,119,캐나다,15세이상관람가,스릴러,얀 라누엣 터전,0,1,0,0,0,0,1,아웃브레이크,1
8695,96089,2013,0.0,80,한국,전체관람가,애니메이션,방형우,0,1,0,0,1,0,0,극장판 뛰뛰빵빵 구조대 미션 : 둥둥이를 구하라!,1
8696,96090,2021,0.0,74,일본,청소년관람불가,멜로/로맨스,쿠보타 쇼지,0,1,1,0,1,0,0,나비수집가 : 붉은 방,1
8697,96091,2019,0.0,98,미국,미정,없음,벤 레키,0,1,1,0,1,0,1,왓치리스트,1
8698,96098,2020,0.0,90,홍콩,미정,액션,맥호방,0,1,1,0,1,0,0,탈옥풍운,1
8699,96100,2021,92.65,9,미국,전체관람가,애니메이션,케빈 놀팅,0,0,0,1,0,0,0,22 vs. 지구,0
8700,96109,2020,91.67,9,미국,전체관람가,애니메이션,에리카 밀솜,0,0,0,1,0,0,0,루프,0
8701,96115,2017,0.0,11,한국,15세이상관람가,드라마,정지환,0,0,0,0,1,0,0,디펜스 게임,0
8702,96116,2019,0.0,97,미국,15세이상관람가,서부극(웨스턴),크리스토퍼 포베스,0,1,0,0,0,0,1,미국대전쟁,1
8703,96117,2021,0.0,74,한국,15세이상관람가,스릴러,김우혁,0,1,1,0,1,0,1,궤도 이탈자들,1
8704,96118,2020,0.0,18,한국,12세이상관람가,드라마,이동원,0,0,0,0,1,0,0,더데이,0
8705,96119,2018,0.0,10,한국,12세이상관람가,다큐멘터리,김내리,0,0,0,0,1,0,0,"31, 내리다",0
8706,96120,2019,0.0,13,한국,전체관람가,드라마,이가영,0,0,0,0,1,0,0,독박,0
8707,96124,2017,0.0,120,일본,청소년관람불가,드라마,미야사카 다케시,0,0,1,0,0,0,0,악녀의 악연,2
8708,96131,2019,0.0,96,미국,15세이상관람가,다큐멘터리,줄리아 윌러프비 나슨,0,0,0,0,1,0,0,파이어 페스티벌: 사라진 축제,1
8709,96163,2020,60.0,93,미국,청소년관람불가,코미디,유진 코트리야렌코,0,0,0,0,1,0,0,구독 좋아요 알림설정,1
8710,96234,2020,0.0,100,오스트리아,15세이상관람가,공포(호러),다니엘 프로하스카,1,0,0,0,0,0,0,오싹한 집,1
8711,96249,2014,0.0,0,미국,미정,다큐멘터리,밸브,1,0,0,0,0,0,0,프리 투 플레이,0
8712,96252,2015,0.0,96,한국,전체관람가,드라마,전성호,0,1,0,0,0,0,0,이바라키의 여름,1
8713,96260,2019,70.59,112,독일,12세이상관람가,드라마,드로 자하비,0,0,0,0,1,0,0,크레센도,1
8714,96270,2016,0.0,105,몽골,15세이상관람가,드라마,문슈크 아디야도르,0,1,1,0,1,0,0,그날 함성,1
